Mesh1,Mesh2,Overlap Fraction
G049.stl,G058.stl,0.9749460043196544
G037.stl,G060.stl,0.9744127516778524
G094.stl,G098.stl,0.9736732135394902
G095.stl,G097.stl,0.9730848861283644
G040.stl,G047.stl,0.9730412805391744
G036.stl,G063.stl,0.9727835051546392
G029.stl,G068.stl,0.9726261762189906
G032.stl,G062.stl,0.9725130890052356
G051.stl,G055.stl,0.9718605627887442
G031.stl,G065.stl,0.9705263157894737
G073.stl,G093.stl,0.9690466364011556
G043.stl,G046.stl,0.968019680196802
G084.stl,G090.stl,0.9675299574797063
G035.stl,G061.stl,0.9674143038510368
G083.stl,G091.stl,0.9665629860031104
G075.stl,G088.stl,0.9660100424874469
G053.stl,G056.stl,0.9659043659043659
G077.stl,G079.stl,0.9657720731232984
G041.stl,G045.stl,0.9656196943972836
G034.stl,G064.stl,0.9655455291222313
G050.stl,G057.stl,0.9652719665271966
G038.stl,G059.stl,0.9649048625792812
G081.stl,G086.stl,0.9638157894736842
G030.stl,G067.stl,0.9635983263598327
G039.stl,G048.stl,0.9635525764558023
G080.stl,G089.stl,0.9626837542404825
G080.stl,G082.stl,0.9615529589144365
G082.stl,G089.stl,0.9611906556141673
G074.stl,G091.stl,0.960272417707151
G033.stl,G066.stl,0.9600329625051504
G085.stl,G086.stl,0.9597291518175338
G079.stl,G092.stl,0.958252802473908
G076.stl,G084.stl,0.9577570093457944
G074.stl,G083.stl,0.9564723694171082
G078.stl,G093.stl,0.955812101910828
G087.stl,G088.stl,0.9551569506726457
G076.stl,G090.stl,0.9544095665171899
G081.stl,G085.stl,0.9542649727767695
G073.stl,G078.stl,0.9517382413087935
G075.stl,G087.stl,0.9516500383729855
G077.stl,G092.stl,0.9506553585196608
G153.stl,G162.stl,0.9453689167974882
G155.stl,G169.stl,0.9448769853628153
G154.stl,G166.stl,0.9443561208267091
G174.stl,G176.stl,0.9432505036937542
G157.stl,G172.stl,0.941579634464752
G004.stl,G024.stl,0.9414293390650188
G160.stl,G165.stl,0.9406934306569343
G156.stl,G171.stl,0.9403698979591837
G173.stl,G177.stl,0.94006734006734
G152.stl,G157.stl,0.9397269397269398
G015.stl,G019.stl,0.9386653581943082
G156.stl,G158.stl,0.9384958572339069
G152.stl,G172.stl,0.938061938061938
G162.stl,G170.stl,0.9378783051927365
G164.stl,G165.stl,0.9376305580423754
G154.stl,G167.stl,0.9375396322130628
G007.stl,G018.stl,0.937471051412691
G159.stl,G161.stl,0.9374221668742216
G010.stl,G022.stl,0.936914736323312
G163.stl,G169.stl,0.9366286438529785
G161.stl,G168.stl,0.9365079365079365
G012.stl,G017.stl,0.9363431151241535
G155.stl,G163.stl,0.9354237814343371
G159.stl,G168.stl,0.9331883157240523
G160.stl,G164.stl,0.932747652226598
G153.stl,G170.stl,0.932419806913734
G008.stl,G014.stl,0.9323197645904855
G011.stl,G020.stl,0.9319271332694151
G006.stl,G021.stl,0.9308823529411765
G005.stl,G023.stl,0.9298910468972051
G158.stl,G171.stl,0.929724596391263
G166.stl,G167.stl,0.92868169188021
G013.stl,G072.stl,0.9159229685298262
